sector,sector_id,composite_score,avg_hit_rate,avg_sharpe,observations,trend_signal,momentum_20_ic,ma_cross_50_200_ic,adx_14_ic,cto_larsson_ic,rank
Data Centers & Infrastructure,data_centers,0.4489266987556275,0.5386839096308771,0.9275302346020973,13320,GREEN,0.14970967838076854,0.6031092928814425,0.14889745094288126,0.2534923876962477,1
Agriculture,agriculture,0.44300260465688546,0.525914377964758,1.100354652678765,13320,YELLOW,0.05578809826584352,0.31842308566282496,-0.008082727277642643,0.11764125123997843,2
SaaS / Cloud Software,saas,0.44185501809339456,0.5501348243153559,0.9763896872709247,15318,GREEN,0.0471409830681886,0.5922019592752237,0.057122934003668045,0.10396535747414752,3
Crypto & Blockchain,crypto,0.3980692500046816,0.5707387388256551,0.8212706433498722,13986,GREEN,0.045434486511302836,0.5554381678483873,0.08858427109013108,0.08975772068541646,4
Communications & Telecom,communications,0.2865023041457968,0.5376686343154051,0.5852690389571705,11318,GREEN,0.14392580254825607,0.2312034118231467,0.1410144478271415,0.15879302261910191,5
Artificial Intelligence,ai,0.2651344606491218,0.520093774582819,0.5681952186692418,15318,YELLOW,0.10714678701559663,0.33691259642881916,5.3574029619031144e-05,0.17542840669963056,6
Semiconductors,semiconductors,0.23798018435686302,0.5600386877937967,0.43983665441462083,15984,YELLOW,0.03431025423127663,0.33728403256041484,0.07167650585470356,0.10546226604466433,7
Cybersecurity,cybersecurity,0.2201217762730161,0.5306126705389473,0.4811356966714268,12610,YELLOW,0.05152172921476763,0.2006406877633446,0.07074181785783258,0.058314966474321744,8
Construction & Engineering,construction,0.2114359120706918,0.5839064479798903,0.37276716191599896,15984,YELLOW,0.07705333275412873,0.2564916130069525,-0.058436486986500884,0.0748748167929394,9
Containers Packaging,containers_packaging,0.20577297688977803,0.5445359271132674,0.4308776218742045,13320,YELLOW,0.03724201593406252,0.17774599844819464,-0.003495933503238652,0.11129938158779368,10
Nuclear Energy,nuclear,0.14961197805301052,0.5283680424998781,0.28027719868040984,12654,YELLOW,0.0516753314857988,0.31076773851781664,-0.026034577625727705,0.05781017065000052,11
Financial Services,financial,0.13130837341164897,0.48304115442229845,0.27444853342982983,15984,YELLOW,0.14724715478678388,0.06482024353253653,0.1379966645334803,0.16909815495096478,12
Healthcare (Non-Biotech),healthcare,0.11514592897517284,0.49986097842389776,0.3282478231903015,15318,YELLOW,0.011197644285868355,0.12832378016428847,-0.08845882109822752,-0.0471471313036018,13
Minerals & Mining,minerals_mining,0.05312965163497907,0.6141360414507868,-0.04229134840457089,13986,YELLOW,0.021552383414079675,0.03122281495424261,-0.036537350755804714,-0.022523576685582827,14
Solar Energy,solar,0.010985391426055563,0.5394880945512237,-0.02124922651592292,12654,YELLOW,-0.021800424844499296,0.012844848759636686,0.008703351119886857,-0.05997904388194587,15
Energy (Oil & Gas),energy,-0.009950188510105163,0.5168884740746845,-0.047705671190020935,14652,YELLOW,0.003133301579234648,-0.028606170780292144,-0.0058825874602893,-0.007344978063322353,16
Biotechnology,biotech,-0.12040000239658778,0.49630016003379984,-0.29433356444155495,15984,RED,-0.05984826188550565,-0.06102097521329959,-0.02435765258513731,-0.028068548742611336,17
REITs,reits,-0.1524144533140837,0.44373441707485156,-0.24314600972325323,13986,RED,-0.13392364077917288,0.020658569198549907,-0.11349095778628888,-0.1567182581285856,18
Materials & Specialty Chemicals,materials,-0.1781754327113822,0.4382360805669686,-0.34459904435190447,15984,RED,-0.07120510981476248,-0.21731504498099025,0.132923356629905,-0.07877366501583011,19
